NAME	ARTIST	COLOR	BAX	CHRIS LIKES	DANCEABILITY (EST)	GENRE TAGS	LEADS	LIFE STAGE	YEAR CHARTED	TAGS	KEY	PITCH	TIME SIGNATURE	TEMPO	DURATION	MIDI SONG NUMBER	MIDI PROGRAM NUMBER	DOCUMENTS	RECORDINGS	MIDI PRESETS	LYRICS	LYRICS (HTML)	CHORDS	CHORDS (HTML)	NOTES	NOTES (HTML)	LAST PERFORMED	ACTIVE	ADDED
Adore You	Harry Styles			50	40	Rock		1	2019				4/4	99	3:27				Adore You.mp3									Yes	
Ain't No Rest for the Wicked	Cage the Elephant			50	60	Rock		30	2008					156	2:55				Ain't No Rest For The Wicked.mp3									Yes	
All Summer Long	Kid Rock			50	60	Rock	Chris	70	2007		D			103	4:56				All Summer Long.mp3		It was 1989\nMy thoughts were short my hair was long\nCaught somewhere between a boy and man\nShe was seventeen\nAnd she was far from in-between\nIt was summertime in Northern Michigan\nSplashing through the sand bar\nTalking by the campfire\nIt's the simple things in life, like when and where\nWe didn't have no Internet\nBut, man, I never will forget\nThe way the moonlight shined upon her hair\nCatching Walleye from the dock\nWatching the waves roll off the rocks\nShe'll forever hold a spot inside my soul\nWe'd blister in the sun\nWe couldn't wait for night to come\nTo hit that sand and play some rock and roll\nNow nothing seems as strange\nAs when the leaves began to change\nOr how we thought those days would never end\nSometimes I hear that song\nAnd I start to sing along\nAnd think, man, I'd love to see that girl again\n\nSinging Sweet Home Alabama all summer long\nSinging Sweet Home Alabama all summer long\nSinging Sweet Home Alabama all summer long\nSinging Sweet Home Alabama all summer long\nSinging Sweet Home Alabama all summer long\nSinging Home Sweet Home Alabama all summer long\nSinging all summer long	<p>It was 1989<br />My thoughts were short my hair was long<br />Caught somewhere between a boy and man<br />She was seventeen<br />And she was far from in-between<br />It was summertime in Northern Michigan</p><p>Splashing through the sand bar<br />Talking by the campfire<br />It's the simple things in life, like when and where<br />We didn't have no Internet<br />But, man, I never will forget<br />The way the moonlight shined upon her hair</p><p>Catching Walleye from the dock<br />Watching the waves roll off the rocks<br />She'll forever hold a spot inside my soul<br />We'd blister in the sun<br />We couldn't wait for night to come<br />To hit that sand and play some rock and roll</p><p>Now nothing seems as strange<br />As when the leaves began to change<br />Or how we thought those days would never end<br />Sometimes I hear that song<br />And I start to sing along<br />And think, man, I'd love to see that girl again</p><p><br />Singing Sweet Home Alabama all summer long</p><p>Singing Sweet Home Alabama all summer long<br />Singing Sweet Home Alabama all summer long<br />Singing Sweet Home Alabama all summer long<br />Singing Sweet Home Alabama all summer long</p><p>Singing Home Sweet Home Alabama all summer long<br />Singing all summer long</p>					2020-01-18	Yes	
Already Gone	Eagles			50	40	Rock		40	1974		G Maj			146	4:15				Already Gone.mp3									Yes	
Another Brick In the Wall	Pink Floyd			50	60	Rock		70	1979		D			104	3:58				Another Brick In The Wall.mp3	Brick In The Wall (92)							2020-01-18	Yes	
Another One Bites the Dust	Queen			75	80	Rock		20	1980					0	3:35				Another One Bites The Dust.mp3								0000-00-00	Yes	
Bad Romance	Lady Gaga			75	80	Rock		50	2008		A min			119	4:54				Bad Romance.mp3								0000-00-00	Yes	
Bang a Gong (Get It On)	T. Rex			50		Rock		1	1971	Rejected				0	4:24				Bang A Gong (Get It On).mp3									Yes	
Billie Jean	Michael Jackson			75		Rock		0	1983	Rejected				0	4:54												0000-00-00	Yes	
Blue On Black	Kenny Wayne Shepherd Band			50	10	Rock		70	1998		D			84	5:30				Blue On Black.mp3								2020-01-18	Yes	
Blurred Lines	Robin Thicke			75	80	Rock		1	2013					0	4:22				Blurred Lines .mp3								0000-00-00	Yes	
Born to Run	Bruce Springsteen					Rock		20	1975					0	4:29				Born To Run.mp3								0000-00-00	Yes	
Boys 'Round Here	Blake Shelton			50	10	Rock		60	2013		D Maj			85	4:49				Boys 'Round Here.mp3								2019-09-15	Yes	
Brick House	The Commodores			50	60	Rock		30	1977					108	3:32				Brick House.mp3									Yes	
Brown Eyed Girl	Van Morrison			75	80	Rock		70	1967		G			151	3:05				Brown Eyed Girl.mp3								2020-01-18	Yes	
Buddy Holly	Weezer			50	60	Rock		1	1994					0	2:39				Buddy Holly.mp3						Cleaned by TuneUp!	<p>Cleaned by TuneUp!</p>		Yes	
Cake by the Ocean	DNCE			75	80	Rock		80	2015		E			120	3:39				Cake by the Ocean.mp3								2020-01-18	Yes	
Cinnamon Girl	Neil Young			50	10	Rock		60	1969		D			105	2:59				Cinnamon Girl.mp3								2020-01-18	Yes	
Cold Shot	Stevie Ray Vaughan			50	20	Rock		80	1984		A			110	3:59				Cold Shot.mp3		Once was a sweet thing, babyHeld that love in our handsBut now I reach to kiss your lipsIt just don't mean a thing\nAnd that's a cold shot, babyYeah that's a dragA cold shot, babeI've let our love go bad\nRemember the way that you loved meDo anything I sayNow I see you out somewhereYou won't give me the time of day\nAnd that's a cold shot, girlYeah that's a dragThat's a cold shot, babeWe've let our love go bad\nI really meant I was sorryFor ever causing you painYou showed your appreciationBy walking out anyway\nAnd that's a cold shot, babyYeah that's a dragThat's a cold shot, babeWe've let our love go bad\nSo sad...Too bad...So sad...	<p>Once was a sweet thing, baby<br />Held that love in our hands<br />But now I reach to kiss your lips<br />It just don't mean a thing</p><p>And that's a cold shot, baby<br />Yeah that's a drag<br />A cold shot, babe<br />I've let our love go bad</p><p>Remember the way that you loved me<br />Do anything I say<br />Now I see you out somewhere<br />You won't give me the time of day</p><p>And that's a cold shot, girl<br />Yeah that's a drag<br />That's a cold shot, babe<br />We've let our love go bad</p><p>I really meant I was sorry<br />For ever causing you pain<br />You showed your appreciation<br />By walking out anyway</p><p>And that's a cold shot, baby<br />Yeah that's a drag<br />That's a cold shot, babe<br />We've let our love go bad</p><p>So sad...<br />Too bad...<br />So sad...</p>					2020-01-18	Yes	
Cosmic Girl	Jamiroquai			75	60	Rock		20	1996		E min			120	4:04				Cosmic Girl.mp3								0000-00-00	Yes	
Counting Stars	OneRepublic		Brad; Lorne; Chris	75	60	Rock	Brad; Lorne; Chris	70	2013		C#			122	4:17				Counting Stars.mp3	Counting Stars (100)	I see this life like a swinging vineSwing my heart across the lineIn my face is flashing signsSeek it out and ye shall find\nI feel the loveAnd I feel it burnDown this river every turnHope is our four-letter wordMake that money, watch it burn\n	<p>I see this life like a swinging vine<br />Swing my heart across the line<br />In my face is flashing signs<br />Seek it out and ye shall find</p><p>I feel the love<br />And I feel it burn<br />Down this river every turn<br />Hope is our four-letter word<br />Make that money, watch it burn</p><p></p>					2020-01-18	Yes	
Country Girl 	Luke Bryan		Chris; Lorne	50	40	Rock	Brad	70	2011		E			106	3:45				Country Girl.mp3		Got a little boom in my big truckGonna open up the doors and turn it upGonna stomp my boots in the Georgia mudGonna watch you make me fall in love\nGet up on the hood of my daddy's tractorUp on the tool box, it don't matterDown on the tailgate, girl I can't waitTo watch you do your thing\nSomebody's sweet little farmer's childThat got it in her blood to get a little wildPony tail and a pretty smileRope me in from a country mile\nSo come on over here and get in my armsSpin me around this big old barnTangle me up like grandma's yarn, yeah, yeah, yeah\nNow dance like a dandelionIn the wind on the hill underneath the pines, yeahMove like the river flowsFeel the kick drum down deep in your toes\nAll I wanna do is get to holdin' you and get to knowin' youAnd get to showin' you and get to lovin' you 'fore the night is throughBaby you know what to do\n	<p>Got a little boom in my big truck<br />Gonna open up the doors and turn it up<br />Gonna stomp my boots in the Georgia mud<br />Gonna watch you make me fall in love</p><p>Get up on the hood of my daddy's tractor<br />Up on the tool box, it don't matter<br />Down on the tailgate, girl I can't wait<br />To watch you do your thing</p><p><br />Somebody's sweet little farmer's child<br />That got it in her blood to get a little wild<br />Pony tail and a pretty smile<br />Rope me in from a country mile</p><p>So come on over here and get in my arms<br />Spin me around this big old barn<br />Tangle me up like grandma's yarn, yeah, yeah, yeah</p><p><br />Now dance like a dandelion<br />In the wind on the hill underneath the pines, yeah<br />Move like the river flows<br />Feel the kick drum down deep in your toes</p><p>All I wanna do is get to holdin' you and get to knowin' you<br />And get to showin' you and get to lovin' you 'fore the night is through<br />Baby you know what to do</p><p></p>					2020-01-18	Yes	
Crazy	Gnarls Barkley			50		Rock		0	2006					0	2:58													Yes	
Dancing With Myself	Billy Idol			75	80	Rock		30	1982					177	4:50				Dancing With Myself.mp3									Yes	
